,track_id,track_name,artist,track_length,track_popularity,track_added,album_id,album_name,total_album_tracks,track_url,album_url,album_release_year
454,5ILHQlq88HWio0R7YdkLGZ,Willing To Die,"Gin Wigmore, Suffa, Logic",3.26245,34,2023-06-19 13:19:04+00:00,1VyFIdXvMnItaNuRKNEx6F,Willing To Die,1,https://open.spotify.com/track/5ILHQlq88HWio0R7YdkLGZ,https://open.spotify.com/album/1VyFIdXvMnItaNuRKNEx6F,2015
455,7kpEXIcmGbHYEpJ4i6MH9v,BURY YOU (feat. The-Dream),"SBTRKT, The-Dream",4.108766666666667,29,2023-06-19 13:19:04+00:00,2b2cYFRqeBcRZn5C6kZ7Fw,SAVE YOURSELF,8,https://open.spotify.com/track/7kpEXIcmGbHYEpJ4i6MH9v,https://open.spotify.com/album/2b2cYFRqeBcRZn5C6kZ7Fw,2016
456,1FJPXCXDD9yt9naw8R5bfs,365,LOONA,3.6986666666666665,37,2023-06-19 13:19:04+00:00,749shYoyhKYDbQE50IpVqT,365,1,https://open.spotify.com/track/1FJPXCXDD9yt9naw8R5bfs,https://open.spotify.com/album/749shYoyhKYDbQE50IpVqT,2019
457,4aBEm2uCbPWgVvZ7SP2KZe,Know You Better,LEISURE,3.5596833333333335,0,2023-06-19 13:19:04+00:00,1SZzXX9j7MdYNkvWadCr4i,Leisure,12,https://open.spotify.com/track/4aBEm2uCbPWgVvZ7SP2KZe,https://open.spotify.com/album/1SZzXX9j7MdYNkvWadCr4i,2016
458,644aVns0mIqtLY9Wqzm7zD,Satellite,LOONA,3.159283333333333,0,2023-06-19 13:19:04+00:00,2Ij6998NUjQ0BkQ2ipqiET,[X X],6,https://open.spotify.com/track/644aVns0mIqtLY9Wqzm7zD,https://open.spotify.com/album/2Ij6998NUjQ0BkQ2ipqiET,2019
459,3qBoKLEqwoTFnOxKo6jHC6,One More,FIESTAR,3.227333333333333,39,2023-06-19 13:19:04+00:00,4sFOFjILYI7bM1U0Py4ERV,One More,1,https://open.spotify.com/track/3qBoKLEqwoTFnOxKo6jHC6,https://open.spotify.com/album/4sFOFjILYI7bM1U0Py4ERV,2014
460,043dDJ9u0PQ3ooAXMgcwOe,MOOO!,Doja Cat,4.750883333333333,63,2023-06-19 13:19:04+00:00,3wOMqxNHgkga91RBC7BaZU,Amala (Deluxe Version),16,https://open.spotify.com/track/043dDJ9u0PQ3ooAXMgcwOe,https://open.spotify.com/album/3wOMqxNHgkga91RBC7BaZU,2019
461,5FryWlD98SXwmfyH23cxQA,DANCE GA BOKUNO KOIBITO,TOKYO GEGEGAY,4.046,17,2023-06-19 13:19:04+00:00,4aYCRVhKHePEQ8Oh61l3hQ,SAISEI PASSION,9,https://open.spotify.com/track/5FryWlD98SXwmfyH23cxQA,https://open.spotify.com/album/4aYCRVhKHePEQ8Oh61l3hQ,2017
462,4F0zJatuBIKVCaezK26Uvo,곡선,SUNMI,3.62255,0,2023-06-19 13:19:04+00:00,7FapH4ThxhFnwohoMGs4dR,WARNING,5,https://open.spotify.com/track/4F0zJatuBIKVCaezK26Uvo,https://open.spotify.com/album/7FapH4ThxhFnwohoMGs4dR,2018
463,1pl5zCDe2430BxyWAWiwYu,"CAN'T SLEEP, CAN'T EAT, I'M SICK",Namie Amuro,3.7826666666666666,33,2023-06-19 13:19:04+00:00,5gwZ0zESIpVcmQzklT7U5i,PLAY,12,https://open.spotify.com/track/1pl5zCDe2430BxyWAWiwYu,https://open.spotify.com/album/5gwZ0zESIpVcmQzklT7U5i,2007
